ID,Должность,Возраст,Опыт_лет,Город,Образование,Уровень,Отрасль,Язык_программирования,Уровень_английского,Количество_проектов,Зарплата_тыс
557,Data Scientist,40,18.0,Москва,PhD,Architect,Госсектор,Python,B2,18,600.0
558,Data Scientist,35,10.8,Пермь,Бакалавр,Senior,Финтех,Kotlin,B1,9,512.6
559,Full Stack Developer,26,3.7,Екатеринбург,PhD,Junior,Промышленность,C#,C1,5,222.1
560,System Administrator,22,2.0,Самара,Бакалавр,Junior,E-commerce,JavaScript,C1,4,115.7
561,Software Engineer,43,18.7,Москва,Бакалавр,Architect,Госсектор,C++,B1,18,600.0
562,QA Engineer,22,2.0,Москва,Среднее,Junior,E-commerce,JavaScript,B1,3,84.7
563,Machine Learning Engineer,36,13.2,Ростов-на-Дону,PhD,Lead,Финтех,Kotlin,C1,13,600.0
564,Data Scientist,34,9.6,Новосибирск,Магистр,Senior,Образование,Go,A1,7,600.0
565,Security Engineer,44,16.4,Новосибирск,Бакалавр,Architect,Медицина,Python,C1,15,600.0
566,Cloud Architect,38,17.9,Воронеж,Магистр,Architect,Госсектор,Kotlin,C2,15,600.0
567,Security Engineer,42,18.8,Уфа,Бакалавр,Architect,Медицина,Go,C1,17,600.0
568,Data Analyst,36,17.0,Нижний Новгород,Магистр,Architect,Образование,C++,C1,16,600.0
569,Backend Developer,41,19.0,Ростов-на-Дону,Бакалавр,Architect,Ритейл,Python,A1,19,600.0
570,Cloud Architect,45,19.9,Казань,Магистр,Architect,Телеком,PHP,C1,18,600.0
571,QA Engineer,33,7.4,Нижний Новгород,Среднее,Middle,E-commerce,C++,A1,6,282.8
572,Backend Developer,40,11.8,Екатеринбург,PhD,Senior,Телеком,Go,C1,12,600.0
573,Data Analyst,25,6.1,Краснодар,Среднее,Middle,Промышленность,Swift,B1,8,287.9
574,Backend Developer,37,12.6,Москва,Магистр,Lead,E-commerce,C++,B1,13,600.0
575,Backend Developer,37,18.0,Казань,Магистр,Architect,E-commerce,C++,B1,16,600.0
576,System Administrator,42,19.7,Пермь,Магистр,Architect,Телеком,Ruby,B1,17,600.0
577,Python Developer,44,18.0,Екатеринбург,Бакалавр,Architect,IT,JavaScript,C1,17,600.0
578,Product Manager,25,4.2,Казань,Бакалавр,Middle,E-commerce,Java,A1,4,297.2
579,Backend Developer,35,9.3,Санкт-Петербург,Среднее,Senior,Ритейл,C#,A2,10,414.1
580,Data Scientist,38,11.0,Пермь,Бакалавр,Senior,E-commerce,C#,A1,9,544.6
581,Software Engineer,29,8.8,Санкт-Петербург,MBA,Senior,E-commerce,Java,B2,8,547.1
582,Software Engineer,40,15.7,Москва,Бакалавр,Lead,IT,Java,C1,15,600.0
583,Frontend Developer,40,17.6,Ростов-на-Дону,Бакалавр,Architect,Госсектор,JavaScript,C2,14,600.0
584,Data Analyst,37,15.9,Санкт-Петербург,Среднее,Lead,Госсектор,Java,B1,14,600.0
585,System Administrator,35,11.8,Санкт-Петербург,MBA,Senior,Образование,PHP,B2,13,600.0
586,Backend Developer,44,19.8,Ростов-на-Дону,Бакалавр,Architect,Ритейл,Java,A2,16,600.0
587,QA Engineer,33,8.3,Санкт-Петербург,PhD,Senior,Госсектор,Ruby,A1,8,387.1
588,Software Engineer,40,13.3,Самара,PhD,Lead,Промышленность,Kotlin,B2,11,600.0
589,Project Manager,31,7.5,Ростов-на-Дону,Магистр,Middle,Промышленность,Java,A2,10,406.1
590,Frontend Developer,33,7.2,Самара,Магистр,Middle,Финтех,Ruby,A2,7,308.9
591,Frontend Developer,37,12.7,Ростов-на-Дону,Бакалавр,Lead,Ритейл,PHP,A2,12,600.0
592,Machine Learning Engineer,41,17.1,Самара,Среднее,Architect,Телеком,Java,A2,14,600.0
593,Product Manager,44,14.5,Самара,Магистр,Lead,Образование,PHP,C1,14,600.0
594,Frontend Developer,40,11.8,Казань,Магистр,Senior,Телеком,JavaScript,A2,9,547.7
595,Python Developer,42,9.9,Уфа,PhD,Senior,Финтех,Go,A2,8,600.0
596,Project Manager,37,14.5,Новосибирск,PhD,Lead,Госсектор,Ruby,B2,12,600.0
597,Machine Learning Engineer,23,3.0,Ростов-на-Дону,Бакалавр,Junior,Медицина,Ruby,B1,6,176.2
598,Data Scientist,41,17.1,Санкт-Петербург,PhD,Architect,Телеком,Java,B1,13,600.0
599,Software Engineer,22,3.9,Волгоград,MBA,Junior,Ритейл,JavaScript,B2,6,212.7
600,Data Scientist,19,1.0,Пермь,MBA,Junior,Ритейл,Java,C2,1,194.7
601,Project Manager,32,7.6,Уфа,Бакалавр,Middle,E-commerce,Go,B1,7,399.7
602,QA Engineer,39,15.9,Ростов-на-Дону,Бакалавр,Lead,IT,Go,C1,12,600.0
603,Frontend Developer,42,17.0,Екатеринбург,Среднее,Architect,E-commerce,PHP,A2,13,600.0
604,Product Manager,42,16.4,Воронеж,Бакалавр,Architect,IT,C#,B1,15,600.0
605,Data Scientist,40,11.0,Санкт-Петербург,MBA,Senior,Промышленность,Ruby,A1,10,600.0
606,Software Engineer,23,0.8,Нижний Новгород,MBA,Junior,Медицина,C++,C1,4,158.5
607,Data Scientist,23,2.9,Волгоград,PhD,Junior,E-commerce,Java,C1,2,226.6
608,Product Manager,37,12.4,Новосибирск,Магистр,Lead,Образование,Swift,C2,13,600.0
609,DevOps Engineer,39,10.3,Пермь,Магистр,Senior,Телеком,JavaScript,B2,11,555.1
610,Software Engineer,24,2.4,Москва,Бакалавр,Junior,Образование,JavaScript,B2,2,133.9
611,Backend Developer,32,6.7,Самара,Бакалавр,Middle,Финтех,Ruby,B1,9,295.9
612,System Administrator,40,15.3,Волгоград,PhD,Lead,Медицина,Python,A2,12,600.0
613,Security Engineer,32,17.0,Волгоград,PhD,Architect,Госсектор,Swift,A1,14,600.0
614,Python Developer,44,18.4,Воронеж,Магистр,Architect,IT,Kotlin,C1,15,600.0
615,Full Stack Developer,36,6.8,Ростов-на-Дону,Бакалавр,Middle,Госсектор,C++,A1,6,328.8
616,Data Analyst,28,5.9,Краснодар,Бакалавр,Middle,IT,Go,A1,7,252.1
617,Frontend Developer,26,4.5,Волгоград,Бакалавр,Middle,IT,PHP,B1,4,250.7
618,Security Engineer,36,10.1,Нижний Новгород,PhD,Senior,Госсектор,Java,B2,8,600.0
619,Machine Learning Engineer,26,4.4,Пермь,Магистр,Middle,Образование,Ruby,B1,6,334.2
620,Frontend Developer,37,15.2,Нижний Новгород,Бакалавр,Lead,Телеком,Go,A2,15,600.0
621,Project Manager,34,16.1,Санкт-Петербург,PhD,Architect,Госсектор,JavaScript,C2,16,600.0
622,QA Engineer,37,12.7,Казань,Среднее,Lead,E-commerce,Ruby,A1,13,525.2
623,Backend Developer,35,10.1,Казань,Бакалавр,Senior,Финтех,Java,C1,10,468.5
624,Python Developer,30,9.5,Волгоград,Магистр,Senior,Финтех,C++,B2,9,491.1
625,Data Scientist,38,14.6,Воронеж,Бакалавр,Lead,Финтех,PHP,C2,13,600.0
626,Data Analyst,42,14.1,Пермь,Бакалавр,Lead,Ритейл,JavaScript,B2,11,600.0
627,Project Manager,21,1.9,Самара,Магистр,Junior,Финтех,C++,C1,3,220.1
628,Security Engineer,31,8.3,Москва,Бакалавр,Senior,IT,C++,C1,8,454.7
629,Data Scientist,22,3.5,Краснодар,Магистр,Junior,Образование,Ruby,C2,5,171.6
630,Data Scientist,44,19.1,Самара,Бакалавр,Architect,Медицина,Java,B2,19,600.0
631,Machine Learning Engineer,40,13.1,Самара,PhD,Lead,Ритейл,Kotlin,B1,11,600.0
632,Machine Learning Engineer,38,12.3,Екатеринбург,Магистр,Lead,E-commerce,PHP,A2,11,600.0
633,Machine Learning Engineer,40,12.6,Казань,PhD,Lead,Ритейл,Go,B1,12,600.0
634,Data Scientist,43,16.9,Санкт-Петербург,Бакалавр,Architect,IT,JavaScript,A1,17,600.0
635,QA Engineer,32,12.0,Новосибирск,PhD,Lead,IT,PHP,C1,12,600.0
636,Project Manager,28,8.0,Ростов-на-Дону,Бакалавр,Middle,Промышленность,Kotlin,A2,6,424.8
637,Full Stack Developer,31,8.1,Уфа,PhD,Senior,Финтех,Ruby,C2,9,600.0
638,Security Engineer,19,0.8,Пермь,Магистр,Junior,IT,PHP,A2,3,181.8
639,Python Developer,31,10.7,Казань,PhD,Senior,Образование,C#,A2,12,600.0
640,QA Engineer,35,13.9,Ростов-на-Дону,Бакалавр,Lead,E-commerce,Swift,A1,12,600.0
641,Project Manager,34,9.6,Екатеринбург,Бакалавр,Senior,Промышленность,PHP,C2,7,535.2
642,Machine Learning Engineer,40,13.1,Самара,Среднее,Lead,Телеком,PHP,A1,14,600.0
643,Product Manager,24,0.7,Ростов-на-Дону,MBA,Junior,Промышленность,Ruby,B2,1,203.8
644,Product Manager,20,5.2,Пермь,Бакалавр,Middle,Образование,C++,A2,4,280.6
645,Software Engineer,31,4.3,Воронеж,Магистр,Middle,Госсектор,C#,A2,7,304.2
646,Frontend Developer,29,3.9,Краснодар,Магистр,Junior,Финтех,Ruby,C1,5,196.5
647,Backend Developer,29,2.2,Самара,MBA,Junior,IT,PHP,B2,3,235.5
648,Project Manager,42,16.0,Самара,Бакалавр,Architect,Телеком,Swift,B2,16,600.0
649,Python Developer,27,2.9,Санкт-Петербург,Магистр,Junior,Госсектор,C++,B1,3,166.4
650,Data Analyst,30,9.0,Пермь,Магистр,Senior,Образование,Kotlin,A1,9,449.0
651,Product Manager,33,12.5,Краснодар,PhD,Lead,Образование,C++,B1,12,600.0
652,Data Scientist,42,20.0,Москва,Магистр,Architect,Госсектор,Ruby,A2,16,600.0
653,Security Engineer,32,10.2,Пермь,Бакалавр,Senior,IT,JavaScript,A1,11,501.2
654,Project Manager,26,5.7,Воронеж,Магистр,Middle,Ритейл,Go,C2,5,386.1
655,Security Engineer,39,13.2,Казань,Магистр,Lead,E-commerce,Java,A2,12,600.0
656,Machine Learning Engineer,44,19.4,Волгоград,Бакалавр,Architect,Телеком,Python,B2,15,600.0
657,Security Engineer,24,5.1,Краснодар,Бакалавр,Middle,IT,Python,C1,5,276.5
658,Full Stack Developer,35,9.8,Пермь,PhD,Senior,Финтех,C#,A1,8,597.7
659,Full Stack Developer,25,2.3,Воронеж,MBA,Junior,Финтех,JavaScript,B2,3,216.0
660,System Administrator,30,4.1,Краснодар,PhD,Middle,E-commerce,Kotlin,A1,7,269.9
661,Backend Developer,34,10.2,Пермь,MBA,Senior,Телеком,C#,C1,8,597.6
662,Software Engineer,25,2.2,Казань,Бакалавр,Junior,Медицина,Python,C1,1,212.6
663,Python Developer,25,0.7,Самара,Среднее,Junior,Образование,C++,C1,4,140.7
664,Python Developer,31,6.8,Нижний Новгород,Бакалавр,Middle,Образование,C#,C1,8,258.8
665,Full Stack Developer,32,8.7,Ростов-на-Дону,Магистр,Senior,E-commerce,PHP,B1,9,518.4
666,Python Developer,43,18.3,Волгоград,Бакалавр,Architect,Ритейл,C#,A2,14,600.0
667,Security Engineer,32,6.4,Казань,Бакалавр,Middle,Ритейл,Python,A1,9,327.1
668,Full Stack Developer,31,7.6,Воронеж,Бакалавр,Middle,Телеком,PHP,B2,9,329.3
669,Full Stack Developer,22,2.2,Волгоград,Бакалавр,Junior,Промышленность,PHP,A1,1,198.3
670,Machine Learning Engineer,36,6.5,Нижний Новгород,Магистр,Middle,Финтех,Kotlin,B2,8,384.5
671,Full Stack Developer,33,9.0,Ростов-на-Дону,PhD,Senior,Финтех,Ruby,C1,7,600.0
672,Backend Developer,32,4.9,Ростов-на-Дону,Бакалавр,Middle,Финтех,Kotlin,C2,6,279.6
673,Data Scientist,23,2.2,Самара,Бакалавр,Junior,Образование,Kotlin,C2,2,206.8
674,Project Manager,39,11.4,Пермь,Магистр,Senior,Госсектор,PHP,B2,13,597.7
675,DevOps Engineer,25,3.5,Уфа,Среднее,Junior,Промышленность,Ruby,C1,5,130.4
676,Backend Developer,41,11.3,Самара,Магистр,Senior,Госсектор,C#,A1,11,600.0
677,Full Stack Developer,26,6.3,Самара,PhD,Middle,E-commerce,Kotlin,C2,8,371.1
678,Python Developer,29,7.4,Санкт-Петербург,Среднее,Middle,IT,Swift,C2,7,280.3
679,Python Developer,50,18.6,Пермь,Среднее,Architect,Телеком,Go,A2,14,600.0
680,Software Engineer,23,3.5,Волгоград,PhD,Junior,IT,Go,C1,4,221.8
681,QA Engineer,41,15.8,Уфа,Среднее,Lead,Промышленность,Swift,A2,14,567.5
682,DevOps Engineer,35,13.5,Ростов-на-Дону,Бакалавр,Lead,E-commerce,Kotlin,B1,10,600.0
683,Software Engineer,44,17.1,Ростов-на-Дону,Магистр,Architect,Госсектор,Swift,C1,15,600.0
684,Software Engineer,35,12.0,Пермь,Бакалавр,Senior,Госсектор,Python,B1,9,519.5
685,Frontend Developer,28,6.1,Самара,PhD,Middle,Образование,Java,C2,7,340.3
686,System Administrator,26,6.6,Волгоград,Бакалавр,Middle,Медицина,C++,B2,5,330.0
687,QA Engineer,34,15.7,Москва,Бакалавр,Lead,Телеком,Python,C1,16,600.0
688,System Administrator,22,2.4,Самара,Бакалавр,Junior,Промышленность,Python,A1,3,140.4
689,Frontend Developer,36,11.5,Самара,Бакалавр,Senior,Ритейл,C++,C2,12,522.2
690,Machine Learning Engineer,46,14.3,Санкт-Петербург,MBA,Lead,IT,JavaScript,C2,12,600.0
691,Frontend Developer,28,6.2,Нижний Новгород,PhD,Middle,Образование,JavaScript,B1,8,347.0
692,Project Manager,41,19.4,Новосибирск,Среднее,Architect,E-commerce,Ruby,A1,16,600.0
693,Python Developer,30,2.6,Ростов-на-Дону,Магистр,Junior,E-commerce,PHP,C2,3,171.6
694,Cloud Architect,18,2.0,Волгоград,Бакалавр,Junior,Образование,Java,A1,1,200.3
695,Backend Developer,29,6.9,Москва,Магистр,Middle,Ритейл,C#,A1,8,291.7
696,QA Engineer,32,6.8,Воронеж,Бакалавр,Middle,Ритейл,Java,A2,5,226.8
697,Machine Learning Engineer,35,9.8,Самара,PhD,Senior,Финтех,PHP,A2,8,600.0
698,Security Engineer,36,9.9,Новосибирск,Бакалавр,Senior,Ритейл,C++,A1,7,501.2
699,Security Engineer,44,18.1,Пермь,Бакалавр,Architect,Образование,PHP,C2,16,600.0
700,DevOps Engineer,34,11.5,Самара,Магистр,Senior,Телеком,Kotlin,C2,13,586.1
701,Product Manager,26,3.6,Нижний Новгород,Магистр,Junior,Ритейл,Kotlin,C2,3,200.1
702,Python Developer,37,11.0,Уфа,MBA,Senior,Медицина,Python,B1,9,600.0
703,Machine Learning Engineer,34,9.6,Нижний Новгород,Бакалавр,Senior,IT,Python,B1,9,591.8
704,Security Engineer,40,19.1,Нижний Новгород,PhD,Architect,Промышленность,Kotlin,C2,18,600.0
705,Software Engineer,40,11.2,Нижний Новгород,Магистр,Senior,Медицина,Java,A2,8,529.1
706,Python Developer,45,18.7,Волгоград,Бакалавр,Architect,Медицина,PHP,C2,14,600.0
707,System Administrator,27,5.2,Москва,Бакалавр,Middle,Телеком,Java,A2,5,266.5
708,Cloud Architect,24,5.1,Краснодар,Магистр,Middle,Медицина,Java,C1,8,429.3
709,Frontend Developer,26,5.4,Пермь,Магистр,Middle,E-commerce,Swift,C1,8,307.4
710,DevOps Engineer,25,4.9,Уфа,Магистр,Middle,Медицина,C++,A1,7,343.3
711,Machine Learning Engineer,40,13.5,Пермь,Бакалавр,Lead,Образование,JavaScript,C2,13,600.0
712,Cloud Architect,36,13.4,Москва,PhD,Lead,IT,Java,B2,10,600.0
713,Python Developer,34,10.0,Москва,Бакалавр,Senior,Ритейл,Python,A2,8,526.9
714,Cloud Architect,38,10.6,Самара,Бакалавр,Senior,E-commerce,JavaScript,B1,9,599.2
715,Full Stack Developer,37,7.6,Самара,PhD,Middle,IT,Python,A1,9,392.6
716,Full Stack Developer,29,7.0,Воронеж,Магистр,Middle,Госсектор,PHP,B1,9,420.1
717,Cloud Architect,23,1.2,Волгоград,Бакалавр,Junior,Финтех,Kotlin,C1,3,192.7
718,Cloud Architect,23,5.1,Казань,Магистр,Middle,Телеком,Ruby,B2,5,410.8
719,Machine Learning Engineer,32,8.5,Волгоград,PhD,Senior,Телеком,Ruby,A2,6,600.0
720,Cloud Architect,45,15.6,Ростов-на-Дону,Среднее,Lead,Финтех,Go,A1,12,600.0
721,Project Manager,40,15.2,Ростов-на-Дону,Бакалавр,Lead,Телеком,Swift,C1,13,600.0
722,Software Engineer,23,3.0,Екатеринбург,Магистр,Junior,E-commerce,C#,A1,6,184.9
723,Python Developer,30,5.2,Екатеринбург,Бакалавр,Middle,Финтех,Swift,C1,7,254.5
724,Backend Developer,36,8.5,Пермь,Магистр,Senior,Промышленность,Go,C2,8,570.4
725,System Administrator,33,9.9,Пермь,Среднее,Senior,Медицина,PHP,A2,8,388.9
726,QA Engineer,29,6.8,Нижний Новгород,Магистр,Middle,Промышленность,Swift,A1,5,223.1
727,Machine Learning Engineer,27,2.7,Уфа,Магистр,Junior,Госсектор,C#,B1,2,221.7
728,Data Scientist,42,14.8,Екатеринбург,PhD,Lead,Телеком,Ruby,B1,15,600.0
729,Data Analyst,44,18.1,Ростов-на-Дону,Бакалавр,Architect,Госсектор,C++,B1,14,600.0
730,Product Manager,45,19.5,Воронеж,Бакалавр,Architect,Ритейл,Kotlin,A1,18,600.0
731,Machine Learning Engineer,40,14.1,Казань,Магистр,Lead,Госсектор,JavaScript,B1,14,600.0
732,Security Engineer,37,13.5,Нижний Новгород,PhD,Lead,IT,JavaScript,C2,10,600.0
733,DevOps Engineer,43,19.7,Казань,Магистр,Architect,Финтех,Go,C2,19,600.0
734,DevOps Engineer,29,10.0,Москва,Бакалавр,Senior,Образование,Kotlin,A2,8,532.5
735,Product Manager,40,15.4,Пермь,Магистр,Lead,Образование,PHP,A1,12,600.0
736,Data Analyst,24,2.0,Ростов-на-Дону,PhD,Junior,Промышленность,JavaScript,A2,3,123.2
737,Python Developer,34,8.9,Екатеринбург,PhD,Senior,IT,Swift,A2,9,546.1
738,Data Scientist,30,3.5,Санкт-Петербург,Среднее,Junior,IT,Go,C2,6,166.0
739,Data Analyst,45,19.0,Волгоград,Магистр,Architect,Ритейл,Go,A2,17,600.0
740,Project Manager,38,18.9,Воронеж,PhD,Architect,Медицина,Ruby,A1,18,600.0
741,DevOps Engineer,39,16.7,Казань,Бакалавр,Architect,IT,Java,B1,17,600.0
742,Machine Learning Engineer,30,10.2,Краснодар,MBA,Senior,Промышленность,Kotlin,C2,12,600.0
743,Product Manager,36,9.4,Воронеж,Магистр,Senior,Финтех,Swift,C1,11,600.0
744,QA Engineer,38,12.8,Новосибирск,Среднее,Lead,Телеком,C++,C1,12,499.1
745,Software Engineer,43,13.8,Воронеж,Магистр,Lead,IT,Python,C2,12,600.0
746,Security Engineer,32,8.8,Самара,Среднее,Senior,Госсектор,Python,B1,9,470.5
747,Project Manager,29,5.4,Екатеринбург,Бакалавр,Middle,E-commerce,C++,B1,8,291.8
748,QA Engineer,24,7.0,Воронеж,PhD,Middle,Медицина,C++,A2,9,356.3
749,Machine Learning Engineer,27,4.0,Новосибирск,Бакалавр,Middle,Образование,C#,B2,6,291.9
750,DevOps Engineer,35,10.8,Пермь,Бакалавр,Senior,IT,Kotlin,B1,12,600.0
751,Machine Learning Engineer,33,10.6,Ростов-на-Дону,MBA,Senior,Телеком,Ruby,C1,10,600.0
752,DevOps Engineer,38,13.2,Краснодар,Бакалавр,Lead,E-commerce,Swift,C1,12,600.0
753,Python Developer,46,19.2,Пермь,Бакалавр,Architect,Телеком,Go,A1,19,600.0
754,Machine Learning Engineer,40,12.5,Уфа,Магистр,Lead,Ритейл,C++,A2,9,600.0
755,Cloud Architect,21,0.7,Уфа,Магистр,Junior,E-commerce,PHP,C1,0,216.5
756,System Administrator,40,16.2,Краснодар,Магистр,Architect,IT,PHP,C1,13,600.0
757,Frontend Developer,42,17.4,Санкт-Петербург,MBA,Architect,IT,C#,C2,13,600.0
758,DevOps Engineer,29,5.4,Краснодар,Бакалавр,Middle,Финтех,Ruby,A2,8,304.8
759,Security Engineer,35,7.1,Новосибирск,Бакалавр,Middle,Промышленность,Swift,A2,6,317.8
760,Data Scientist,34,7.4,Нижний Новгород,Магистр,Middle,IT,Java,A1,9,407.4
761,Frontend Developer,37,15.9,Екатеринбург,Бакалавр,Lead,Ритейл,Java,C2,13,600.0
762,QA Engineer,40,19.2,Уфа,Магистр,Architect,Медицина,JavaScript,A2,17,600.0
763,Data Analyst,37,10.8,Новосибирск,Бакалавр,Senior,Образование,PHP,C2,9,381.5
764,Full Stack Developer,42,14.6,Новосибирск,Среднее,Lead,Медицина,Go,A2,14,600.0
765,DevOps Engineer,34,12.6,Новосибирск,PhD,Lead,Образование,C++,A1,12,600.0
766,Backend Developer,22,0.5,Пермь,Бакалавр,Junior,Госсектор,Python,A1,1,126.3
767,Software Engineer,43,16.9,Самара,MBA,Architect,Ритейл,PHP,B1,17,600.0
768,QA Engineer,26,6.0,Ростов-на-Дону,PhD,Middle,Телеком,Swift,C2,8,284.1
769,Security Engineer,25,6.6,Ростов-на-Дону,Бакалавр,Middle,Промышленность,C#,B1,5,294.4
770,Data Analyst,37,11.5,Санкт-Петербург,Магистр,Senior,Финтех,Swift,A1,12,460.8
771,System Administrator,47,15.1,Санкт-Петербург,PhD,Lead,Телеком,Ruby,C2,14,600.0
772,Project Manager,18,1.0,Краснодар,Бакалавр,Junior,Госсектор,Go,A1,4,160.7
773,DevOps Engineer,37,9.9,Москва,PhD,Senior,IT,PHP,B1,9,600.0
774,Product Manager,38,14.5,Ростов-на-Дону,Магистр,Lead,Госсектор,C#,A1,15,600.0
775,Software Engineer,25,1.1,Санкт-Петербург,Магистр,Junior,Промышленность,PHP,B1,4,163.0
776,DevOps Engineer,36,11.8,Нижний Новгород,Магистр,Senior,Промышленность,Python,B2,10,600.0
777,Python Developer,33,11.6,Новосибирск,Магистр,Senior,Медицина,Swift,B1,9,567.3
778,Python Developer,25,5.9,Казань,Среднее,Middle,Телеком,Java,A1,7,273.5
779,Product Manager,27,5.9,Пермь,Магистр,Middle,E-commerce,Java,A2,5,373.3
780,Python Developer,23,0.6,Воронеж,Среднее,Junior,Промышленность,Python,B1,2,137.8
781,Backend Developer,26,3.3,Уфа,Бакалавр,Junior,Образование,PHP,C2,5,138.4
782,Data Analyst,38,14.9,Москва,Бакалавр,Lead,Медицина,JavaScript,A2,14,600.0
783,Software Engineer,41,9.2,Краснодар,PhD,Senior,Ритейл,C++,C1,8,560.5
784,Full Stack Developer,34,12.7,Волгоград,Магистр,Lead,Образование,Go,A1,14,600.0
785,QA Engineer,30,5.0,Ростов-на-Дону,Магистр,Middle,Промышленность,Go,B2,4,289.7
786,Full Stack Developer,35,10.0,Самара,Магистр,Senior,E-commerce,Python,B2,10,592.9
787,Project Manager,38,14.7,Волгоград,Среднее,Lead,Образование,Swift,A2,15,600.0
788,Frontend Developer,45,19.8,Санкт-Петербург,Бакалавр,Architect,IT,Java,B2,15,600.0
789,Software Engineer,22,5.0,Санкт-Петербург,Магистр,Middle,Телеком,JavaScript,A1,5,384.6
790,Full Stack Developer,43,14.7,Екатеринбург,Бакалавр,Lead,Финтех,C++,A1,11,600.0
791,Cloud Architect,34,4.5,Волгоград,Бакалавр,Middle,E-commerce,Java,A2,3,421.4
792,Project Manager,34,9.6,Самара,Бакалавр,Senior,Ритейл,C++,A1,11,522.3
793,Full Stack Developer,40,15.9,Воронеж,Бакалавр,Lead,Телеком,PHP,A1,16,600.0
794,QA Engineer,29,6.2,Санкт-Петербург,Бакалавр,Middle,Медицина,Kotlin,A2,7,215.6
795,Cloud Architect,33,6.3,Волгоград,Бакалавр,Middle,Финтех,JavaScript,C2,5,368.5
796,DevOps Engineer,23,4.9,Нижний Новгород,Среднее,Middle,E-commerce,Java,C1,6,214.6
797,Cloud Architect,29,8.2,Нижний Новгород,Магистр,Senior,E-commerce,C++,C1,8,600.0
798,Product Manager,43,18.0,Краснодар,Бакалавр,Architect,Телеком,Java,B1,14,600.0
799,System Administrator,33,9.8,Воронеж,Бакалавр,Senior,E-commerce,PHP,C2,9,407.1
800,Cloud Architect,21,1.5,Нижний Новгород,Бакалавр,Junior,Медицина,Ruby,B2,1,197.4
801,Full Stack Developer,46,18.8,Екатеринбург,Магистр,Architect,Образование,C++,C2,15,600.0
802,Full Stack Developer,32,12.1,Нижний Новгород,Магистр,Lead,Ритейл,Go,A2,13,600.0
803,Software Engineer,23,3.7,Новосибирск,PhD,Junior,Телеком,JavaScript,B2,6,182.0
804,QA Engineer,42,12.3,Волгоград,Бакалавр,Lead,Промышленность,Ruby,B2,10,567.7
805,DevOps Engineer,47,19.6,Самара,Среднее,Architect,Телеком,Java,B1,19,600.0
806,System Administrator,29,7.4,Воронеж,Бакалавр,Middle,Промышленность,Java,B1,9,257.4
807,DevOps Engineer,36,9.9,Пермь,Магистр,Senior,Финтех,Go,C1,7,599.7
808,Data Scientist,22,2.8,Санкт-Петербург,PhD,Junior,IT,Swift,C2,5,198.2
809,QA Engineer,23,2.5,Екатеринбург,Среднее,Junior,IT,JavaScript,A1,3,98.3
810,System Administrator,24,8.3,Самара,PhD,Senior,Телеком,C#,A2,7,566.3
811,Machine Learning Engineer,27,7.1,Воронеж,PhD,Middle,Финтех,PHP,C2,9,526.8
812,Machine Learning Engineer,28,5.3,Москва,Бакалавр,Middle,Финтех,Ruby,A1,5,357.8
813,QA Engineer,36,14.2,Новосибирск,PhD,Lead,Ритейл,Go,A1,13,600.0
814,Software Engineer,47,19.2,Нижний Новгород,Бакалавр,Architect,Телеком,C#,A1,18,600.0
815,Full Stack Developer,19,2.9,Москва,Бакалавр,Junior,Медицина,Ruby,A1,3,129.6
816,QA Engineer,29,5.2,Санкт-Петербург,Бакалавр,Middle,Ритейл,Go,A2,4,217.6
817,Full Stack Developer,33,7.5,Самара,Магистр,Middle,Медицина,Ruby,C2,6,362.5
818,Backend Developer,49,17.3,Самара,Магистр,Architect,IT,Java,B2,17,600.0
819,DevOps Engineer,37,16.4,Самара,Магистр,Architect,Госсектор,JavaScript,C2,17,600.0
820,Project Manager,18,0.9,Санкт-Петербург,Бакалавр,Junior,Телеком,Go,A1,2,167.3
821,Frontend Developer,36,13.7,Ростов-на-Дону,PhD,Lead,Финтех,Java,A2,13,600.0
822,Backend Developer,49,19.4,Самара,Бакалавр,Architect,E-commerce,Go,B1,15,600.0
823,QA Engineer,32,7.8,Уфа,Магистр,Middle,E-commerce,C++,B1,10,270.6
824,DevOps Engineer,36,10.2,Краснодар,Бакалавр,Senior,Госсектор,Swift,A1,8,596.2
825,Full Stack Developer,46,16.2,Москва,Бакалавр,Architect,Промышленность,Swift,C2,15,600.0
826,Python Developer,37,14.7,Нижний Новгород,PhD,Lead,IT,Kotlin,B2,12,600.0
827,Data Scientist,28,7.0,Новосибирск,Магистр,Middle,IT,Go,B1,7,378.3
828,Data Scientist,29,2.7,Екатеринбург,Бакалавр,Junior,Телеком,JavaScript,A2,2,209.5
829,Data Analyst,45,18.6,Волгоград,Магистр,Architect,Госсектор,C#,A2,15,600.0
830,Data Scientist,24,2.4,Нижний Новгород,Бакалавр,Junior,Медицина,Go,B1,3,198.6
831,Cloud Architect,23,6.6,Новосибирск,PhD,Middle,IT,Go,A2,8,503.9
832,Data Scientist,38,13.7,Новосибирск,Бакалавр,Lead,Медицина,C#,B1,14,600.0
833,Full Stack Developer,40,18.5,Уфа,Бакалавр,Architect,E-commerce,PHP,C1,14,600.0
834,Cloud Architect,35,12.1,Самара,Среднее,Lead,Ритейл,Ruby,C1,10,600.0
835,DevOps Engineer,31,15.0,Краснодар,Среднее,Lead,E-commerce,PHP,A1,15,600.0
836,Full Stack Developer,40,16.3,Екатеринбург,Магистр,Architect,Финтех,C#,A2,16,600.0
